,,,,,,,,,,,,,
2023A,IZ Service,,,3-Apr,4/6/2023,Kirehe,#REF!,,13:00,16,Nyarubuye ,Nyarutunga,"10,296"
2023A,IZ Service,,,3-Apr,4/6/2023,Gatsibo,#REF!,,13:00,1,Kiziguro,Ndatemwa B,"3,512"
2023A,IZ Service,,,3-Apr,4/6/2023,Rwamagana,#REF!,,10:30,1,Musha,Nyabisindu,"9,837"
2023A,IZ Service,,,10-Apr,4/10/2023,Kirehe,#REF!,,11:00,12,Mpanga,Kankobwa,"9,333"
2023A,IZ Service,,,10-Apr,4/10/2023,Ngoma,#REF!,,10:00,13,Mutenderi,Mutendeli,"10,333"
2023A,IZ Service,,,10-Apr,4/11/2023,Kayonza,#REF!,,11:30,8,Murundi,Murundi,"10,036"
2023A,IZ Service,,,10-Apr,4/13/2023,Rulindo,#REF!,,16:30,9,Cyungo,Gasiza,"10,077"
2023A,IZ Service,,,10-Apr,4/15/2023,Rulindo,#REF!,,11:00 AM,9,Base,Mukoto,"5,903"
2023A,IZ Service,,,10-Apr,4/15/2023,Burera,#REF!,,08:20,1,Butaro,Bunaba,"9,115"
2023A,IZ Service,,,17-Apr,4/17/2023,Nyagatare,#REF!,,14:30,1,Karangazi,Karama,"10,308"
2023A,IZ Service,,,17-Apr,4/18/2023,Nyagatare,#REF!,,15:50,1,Karangazi,Karama,"4,322"
2023A,IZ Service,,,17-Apr,4/20/2023,Rulindo,#REF!,,11:00,2,Cyungo,Burehe,876
2023A,IZ Service,,,17-Apr,4/20/2023,Rulindo,#REF!,,11:00,5,Cyungo,Burehe,"3,856"
2023A,IZ Service,,,24-Apr,4/25/2023,Burera,#REF!,,09:24,8,Rwerere,Runconsho,"10,075"
2023A,IZ Service,,,24-Apr,4/25/2023,Burera,#REF!,,10:32,3,Kinyababa,Rusomo,"10,111"
2023A,IZ Service,,,24-Apr,4/26/2023,Rulindo,#REF!,,1:00 PM,9,Mbogo,Mbogo,"10,500"
,,,,,,,,,,,,,
2023B,IZ Service,,,10-Jul,11-Jul,Nyagatare,#REF!,,11:50,15,Mimuri,Mahoro,"11,484"
2023B,IZ Service,,,10-Jul,11-Jul,Kayonza,#REF!,,09:30,11,Rwinkwavu,Gihinga,"10,963"
2023B,IZ Service,,,10-Jul,7/13/2023,Nyagatare,#REF!,,15:44,2,Rwimiyaga,Nyarupfubire,"4,147"
2023B,IZ Service,,,10-Jul,7/13/2023,Gatsibo,#REF!,,10:16,6,Kiramuruzi,Nyabisindu,"11,015"
2023B,IZ Service,,,10-Jul,7/13/2023,Nyagatare,#REF!,,12:30,6,Musheli,Nyagatabire,"4,856"
2023B,IZ Service,,,10-Jul,14-Jul,Kayonza,#REF!,,07:00,11,Rwinkwavu,Gihinga,"10,686"
2023B,IZ Service,,,10-Jul,7/14/2023,Nyagatare,#REF!,,10:16,12,Musheli,Nyagatabire,"11,151"
2023B,IZ Service,,,10-Jul,7/15/2023,Nyagatare,#REF!,,12:10,3,Musheli,Nyamiyonga,"8,845"
2023B,IZ Service,,,10-Jul,15-Jul,Kayonza,#REF!,,11:50,11,Rwinkwavu,Mwili,"10,442"
2023B,IZ Service,,,10-Jul,7/15/2023,Gatsibo,#REF!,,08:30,3,Kiramuruzi,Nyabisindu,"6,114"
2023B,IZ Service,,,10-Jul,7/15/2023,Ngoma,#REF!,,09:30,4,Remera,Ndekwe,"5,077"
2023B,IZ Service,,,17-Jul,7/17/2023,Nyagatare,#REF!,,09:30,6,Musheli,Nyagatabire,"8,331"
2023B,IZ Service,,,17-Jul,7/17/2023,Nyagatare,#REF!,,14:09,5,Matimba,Nyabwishongwezi,"9,027"
2023B,IZ Service,,,17-Jul,7/17/2023,Nyagatare,#REF!,,10:30,2,Rwimiyaga,Kirebe,"10,176"
2023B,IZ Service,,,17-Jul,17-Jul,Nyagatare,#REF!,,09:30,15,Mimuri,Mahoro,"10,251"
2023B,IZ Service,,,17-Jul,7/17/2023,Rwamagana,#REF!,,12:50,3,Mwulire,Gisanza,"3,669"
2023B,IZ Service,,,17-Jul,17-Jul,Kayonza,#REF!,,07:30,5,Rwinkwavu,Gihinga,"10,481"
2023B,IZ Service,,,17-Jul,18-Jul,Rwamagana,#REF!,,16:00,7,Munyiginya,Nkomangwa,"10,247"
2023B,IZ Service,,,17-Jul,18-Jul,Kayonza,#REF!,,15:10,13,Mwili,Gasarabwayi,"9,419"
2023B,IZ Service,,,17-Jul,7/18/2023,Nyagatare,#REF!,,10:30,4,Musheli,Musheli,"9,581"
2023B,IZ Service,,,17-Jul,7/18/2023,Gatsibo,#REF!,,14:30,6,Kiramuruzi,Nyabisindu,"9,596"
2023B,IZ Service,,,17-Jul,7/19/2023,Nyagatare,#REF!,,09:30,4,Rwimiyaga,Kirebe,"8,049"
2023B,IZ Service,,,17-Jul,7/19/2023,Nyagatare,#REF!,,12:07,3,Musheli,Musheli,"9,698"
2023B,IZ Service,,,17-Jul,7/19/2023,Gatsibo,#REF!,,17:30,4,Kiramuruzi,Nyabisindu,"10,295"
2023B,IZ Service,,,17-Jul,7/19/2023,Kayonza,#REF!,,12:00,10,Gahini,Urugarama,"8,043"
2023B,IZ Service,,,17-Jul,7/20/2023,Nyagatare,#REF!,,09:30,5,Matimba,Matimba,"7,686"
2023B,IZ Service,,,17-Jul,20-Jul,Nyagatare,#REF!,,09:25,1,Karangazi,Karama,"10,043"
2023B,IZ Service,,,17-Jul,7/20/2023,Nyagatare,#REF!,,09:30,1,Musheli,Musheli,"2,468"
2023B,IZ Service,,,17-Jul,7/20/2023,Gatsibo,#REF!,,07:30,6,Kiramuruzi,Nyabisindu,"10,492"
2023B,IZ Service,,,17-Jul,7/21/2023,Nyagatare,#REF!,,15:34,2,Musheli,Nyagatabire,"10,753"
2023B,IZ Service,,,17-Jul,7/21/2023,Nyagatare,#REF!,,15:15,1,Rwimiyaga,Kirebe,"4,578"
2023B,IZ Service,,,17-Jul,21-Jul,Kayonza,#REF!,,09:25,7,Rwinkwavu,Gihinga,"11,546"
2023B,IZ Service,,,17-Jul,7/21/2023,Kayonza,#REF!,,11:10,3,Ndego,Kanyarugore,"10,829"
2023B,IZ Service,,,17-Jul,7/22/2023,Nyagatare,#REF!,,08:30,4,Musheli,Nyamiyoga,"5,515"
2023B,IZ Service,,,24-Jul,7/24/2023,Nyagatare,#REF!,,07:25,1,Matimba,Rwentanga,"10,097"
2023B,IZ Service,,,24-Jul,7/24/2023,Nyagatare,#REF!,,14:34,3,Musheli,Musheli,"7,996"
2023B,IZ Service,,,24-Jul,7/24/2023,Gatsibo,#REF!,,16:10,4,Kiramuruzi,Nyabisindu,"3,600"
2023B,IZ Service,,,24-Jul,7/25/2023,Nyagatare,#REF!,,07:00,2,Matimba,Rwentanga,"10,009"
2023B,IZ Service,,,24-Jul,7/25/2023,Nyagatare,#REF!,,11:35,5,Rwimiyaga,Ntoma,"10,052"
2023B,IZ Service,,,24-Jul,25-Jul,Rwamagana,#REF!,,15:40,4,Mwulire,Gisanza,"5,454"
2023B,IZ Service,,,24-Jul,25-Jul,Rwamagana,#REF!,,15:40,2,Munyiginya,Cyimbazi,"4,206"
2023B,IZ Service,,,24-Jul,7/26/2023,Nyagatare,#REF!,,10:05,2,Musheli,Nyamiyonga,"10,559"
2023B,IZ Service,,,24-Jul,7/26/2023,Nyagatare,#REF!,,10:25,3,Matimba,Rwentanga,"9,501"
2023B,IZ Service,,,24-Jul,26-Jul,Nyagatare,#REF!,,14:45,1,Tabagwe,Kabasunzu,"10,063"
2023B,IZ Service,,,24-Jul,26-Jul,Kayonza,#REF!,,13:50,6,Rwinkwavu,Gihinga,"10,569"
2023B,IZ Service,,,24-Jul,26-Jul,Rwamagana,#REF!,,14:30,2,Gishali,Gati,"3,339"
2023B,IZ Service,,,24-Jul,7/27/2023,Nyagatare,#REF!,,09:30,5,Musheli,Nyamiyonga,"10,602"
2023B,IZ Service,,,24-Jul,7/27/2023,Nyagatare,#REF!,,15:00,3,Rwimiyaga,Ntoma,"10,455"
2023B,IZ Service,,,24-Jul,7/27/2023,Kayonza,#REF!,,10:20,13,Gahini,Urugarama,"8,172"
2023B,Internal,,,24-Jul,27-Jul,Kayonza,#REF!,,11:00,1,Mukarange,Nyagatovu,756
2023B,IZ Service,,,24-Jul,7/28/2023,Nyagatare,#REF!,,09:00,1,Musheli,Kibilizi,"10,527"
2023B,IZ Service,,,24-Jul,28-Jul,Nyagatare,#REF!,,03:55,6,Mimuli,Nyagahita,"8,919"
2023B,IZ Service,,,24-Jul,7/28/2023,Gatsibo,#REF!,,16:20,3,Kiramuruzi,Gakenke,"3,922"
2023B,IZ Service,,,31-Jul,7/31/2023,Nyagatare,#REF!,,09:10,2,Rwimiyaga,Ntoma,"10,180"
2023B,IZ Service,,,31-Jul,31-Jul,Nyagatare,#REF!,,04:20,1,Karangazi,Kibondo,"10,631"
2023B,IZ Service,,,31-Jul,8/1/2023,Nyagatare,#REF!,,10:15,4,Musheli,Ntoma,"8,666"
2023B,IZ Service,,,31-Jul,1-Aug,Nyagatare,#REF!,,11:15,2,Karangazi,Kibondo,"10,830"
2023B,IZ Service,,,31-Jul,1-Aug,Nyagatare,#REF!,,07:10,13,Mimuri,Mahoro,"10,399"
2023B,IZ Service,,,31-Jul,1-Aug,Kayonza,#REF!,,13:47,1,Kabare,Cyarubare,"10,527"
2023B,IZ Service,,,31-Jul,1-Aug,Kayonza,#REF!,,11:10,10,Rwinkwavu,Gihinga,"10,214"
2023B,IZ Service,,,31-Jul,8/1/2023,Rwamagana,#REF!,,03:50,3,Mwulire,Gisanza,"7,465"
2023B,IZ Service,,,31-Jul,8/1/2023,Nyagatare,#REF!,,06:09,1,Rwimiyaga,Kabeza,"1,797"
2023B,IZ Service,,,31-Jul,3-Aug,Nyagatare,#REF!,,10:55,11,Mimuri,Mahoro,"11,000"
2023B,IZ Service,,,31-Jul,3-Aug,Kayonza,#REF!,,10:25,10,Rwinkwavu,Gihinga,"10,681"
2023B,IZ Service,,,31-Jul,8/4/2023,Nyagatare,#REF!,,12:38,1,Karangazi,Akayange,"10,923"
2023B,IZ Service,,,31-Jul,8/4/2023,Rwamagana,#REF!,,10:00,1,Gishali,Bwinsanga,"7,315"
2023B,IZ Service,,,31-Jul,4-Aug,Rwamagana,#REF!,,12:30,7,Munyiginya,Nkomangwa,"10,309"
2023B,IZ Service,,,7-Aug,7-Aug,Kayonza,#REF!,,11:00,5,Mimuri,Cyambwana,"6,338"
2023B,IZ Service,,,7-Aug,7-Aug,Kayonza,#REF!,,13:00,3,Kabare,Cyarubare,"10,469"
2023B,IZ Service,,,7-Aug,8/7/2023,Gatsibo,#REF!,,14:20,1,Kiramuruzi,Gakenke,"6,072"
2023B,IZ Service,,,7-Aug,8/8/2023,Nyagatare,#REF!,,12:00,1,Karangazi,Akayange,"10,602"
2023B,IZ Service,,,7-Aug,8/9/2023,Nyagatare,#REF!,,10:00,1,Karangazi,Akayange,"10,737"
2023B,IZ Service,,,14-Aug,14-Aug,Nyagatare,#REF!,,08:35,8,Mimuri,Mahoro,"9,632"
2023B,IZ Service,,,14-Aug,14-Aug,Kayonza,#REF!,,13:00,2,Kabare,Cyarubare,"10,460"
2023B,IZ Service,,,14-Aug,16-Aug,Kayonza,#REF!,,14:15,3,Kabare,Cyarubare,"10,484"
2023B,IZ Service,,,14-Aug,16-Aug,Rwamagana,#REF!,,11:20,4,Munyiginya,Nkomangwa,"5,797"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
